"과목 및 유형",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"과목 및 유형",평  균 (만원),300만원 미만 (만원),- 200만원 미만 (만원),- 200 ~300만원 미만 (만원),300 ~400만원 미만 (만원),400 ~500만원 미만 (만원),500 ~600만원 미만 (만원),600 ~700만원 미만 (만원),- 700 ~ 800만원 미만 (만원),- 800만원 이상 (만원)
"대상분포(%)",100.0,11.9,3.9,8.0,12.5,15.8,16.8,12.1,9.4,21.5
"사교육비",43.4,18.3,13.6,20.6,27.9,35.3,41.2,48.4,52.7,67.1
"과목: 일반교과 사교육",32.6,12.3,8.6,14.1,19.6,25.8,30.7,36.6,39.9,52.4
"국어",3.8,1.5,1.1,1.7,2.3,2.9,3.3,4.2,4.6,6.3
"영어",12.8,4.7,3.3,5.5,7.9,10.5,12.4,14.7,15.9,19.6
"수학",12.2,5.0,3.5,5.7,7.5,9.7,11.7,13.4,14.8,19.4
"사회, 과학",1.9,0.6,0.4,0.7,1.0,1.3,1.6,2.1,2.5,3.7
"논술",1.3,0.3,0.1,0.4,0.6,0.9,1.2,1.5,1.6,2.4
"제2외국어, 한문, 컴퓨터 등",0.6,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.6,1.0
"컴퓨터",0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4
"제2외국어, 한문 등",0.3,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.6
"과목: 예체능,취미,교양 사교육",10.5,5.7,4.7,6.2,8.1,9.3,10.2,11.6,12.5,14.2
"음악",2.9,1.4,1.1,1.5,2.2,2.5,2.9,3.4,3.5,4.1
"미술",1.8,1.0,0.7,1.1,1.3,1.6,1.7,2.0,2.1,2.4
"체육",4.8,2.8,2.6,2.8,3.8,4.3,4.6,5.2,5.7,6.6
"취미·교양",0.9,0.6,0.4,0.7,0.8,0.9,0.9,1.0,1.3,1.0
"과목: 취업관련 사교육",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
"과목: 진로·진학 학습상담",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3
"유형: 일반교과 사교육",32.6,12.3,8.6,14.1,19.6,25.8,30.7,36.6,39.9,52.4
"개인과외",3.7,1.0,0.9,1.1,1.7,2.1,2.9,3.7,4.5,7.7
"그룹과외",2.2,0.8,0.6,0.9,1.3,1.8,2.3,2.8,2.5,3.1
"학원수강",24.1,8.7,5.8,10.2,14.1,19.1,22.9,27.1,29.8,38.6
"방문학습지",1.1,0.7,0.6,0.7,1.1,1.1,1.0,1.2,1.2,1.2
"유료인터넷 및 통신강좌 등",1.6,1.1,0.8,1.3,1.4,1.7,1.6,1.8,1.9,1.7
"유형: 예체능,취미,교양 사교육",10.5,5.7,4.7,6.2,8.1,9.3,10.2,11.6,12.5,14.2
"개인과외",1.2,0.5,0.4,0.5,0.6,0.8,1.0,1.1,1.5,2.5
"그룹과외",0.5,0.3,0.2,0.3,0.3,0.4,0.6,0.6,0.6,0.9
"학원수강",8.3,4.5,3.7,5.0,6.7,7.8,8.2,9.5,10.0,10.4
"방문수업 및 기타",0.4,0.4,0.4,0.4,0.5,0.4,0.3,0.4,0.4,0.4
